# [国字](https://jigen.net/data/%E5%9B%BD%E5%AD%97)
291: 𫋝 U+2B2DD
292: 𫋢 U+2B2E2
293: 𫋤 U+2B2E4
294: 𫋯 U+2B2EF
295: 𫋵 U+2B2F5
296: 𫋼 U+2B2FC
297: 𫌅 U+2B305
298: 𫌈 U+2B308
299: 𫌓 U+2B313
300: 𫌟 U+2B31F
301: 𫌥 U+2B325
302: 𫌧 U+2B327
303: 𫍄 U+2B344
304: 𫍆 U+2B346
305: 𫍋 U+2B34B
306: 𫍒 U+2B352
307: 𫎁 U+2B381
308: 䔧 U+4527
309: 𫎕 U+2B395
310: 𫎮 U+2B3AE
311: 𫏀 U+2B3C0
312: 𫏂 U+2B3C2
313: 𫏉 U+2B3C9
314: 𫏏 U+2B3CF
315: 𫏔 U+2B3D4
316: 𫏡 U+2B3E1
317: 𫏩 U+2B3E9
318: 𫏮 U+2B3EE
319: 𫐞 U+2B41E
320: 𫐤 U+2B424
321: 𫐯 U+2B42F
322: 𫑖 U+2B456
323: 𫑵 U+2B475
324: 𫒆 U+2B486
325: 𫒉 U+2B489
326: 𫒎 U+2B48E
327: 𫒒 U+2B492
328: 𫒓 U+2B493
329: 𫒖 U+2B496
330: 𫒚 U+2B49A
331: 𫒜 U+2B49C
332: 𫒦 U+2B4A6
333: 𫒪 U+2B4AA
334: 𫒯 U+2B4AF
335: 𫒲 U+2B4B2
336: 𫒴 U+2B4B4
337: 𫓀 U+2B4C0
338: 𫓃 U+2B4C3
339: 𫓊 U+2B4CA
340: 𫓍 U+2B4CD
341: 𫓐 U+2B4D0
342: 𫓔 U+2B4D4
343: 𫓘 U+2B4D8
344: 𫓚 U+2B4DA
345: 𫔙 U+2B519
346: 𫔚 U+2B51A
347: 𫔝 U+2B51D
348: 𫔞 U+2B51E
349: 𫔪 U+2B52A
350: 𫕟 U+2B55F
351: 𫕣 U+2B563
352: 𫖋 U+2B58B
353: 𫖝 U+2B59D
354: 𫖟 U+2B59F
355: 𫖨 U+2B5A8
356: 𫗆 U+2B5C6
357: 𫘇 U+2B607
358: 𫘋 U+2B60B
359: 𫘕 U+2B615
360: 𫘹 U+2B639
361: 𫙈 U+2B648
362: 𫙋 U+2B64B
363: 𫙏 U+2B64F
364: 𫙑 U+2B651
365: 𫙕 U+2B655
366: 𫙖 U+2B656
367: 𫙜 U+2B65C
368: 𫙟 U+2B65F
369: 𫙠 U+2B660
370: 𫙡 U+2B661
371: 𫙥 U+2B665
372: 𫙧 U+2B667
373: 𫙨 U+2B668
374: 𫙪 U+2B66A
375: 𫙫 U+2B66B
376: 𫙬 U+2B66C
377: 𫙮 U+2B66E
378: 𫙯 U+2B66F
379: 𫙰 U+2B670
380: 𫙱 U+2B671
381: 𫙳 U+2B673
382: 𫙵 U+2B675
383: 𫙸 U+2B678
384: 𫙹 U+2B679
385: 𫙻 U+2B67B
386: 𫙼 U+2B67C
387: 𫙾 U+2B67E
388: 𫚀 U+2B680
389: 𫚂 U+2B682
390: 𫚅 U+2B685
