 111: 関連字: 㒲 U+34B2,  異体字: 財 U+8CA1
 112: 関連字: 𪞉 U+2A789,  異体字: NONE
 113: 関連字: NONE,  異体字: NONE
 114: 関連字: 円 U+5186,  異体字: 㘣 U+3623, 员 U+5458, 圆 U+5706, 圎 U+570E, 圓 U+5713
 115: 関連字: NONE,  異体字: NONE
 116: 関連字: NONE,  異体字: NONE
 117: 関連字: NONE,  異体字: NONE
 118: 関連字: NONE,  異体字: NONE
 119: 関連字: NONE,  異体字: NONE
 120: 関連字: 𪞎 U+2A78E,  異体字: NONE
 121: 関連字: NONE,  異体字: NONE
 122: 関連字: NONE,  異体字: NONE
 123: 関連字: NONE,  異体字: NONE
 124: 関連字: NONE,  異体字: NONE
 125: 関連字: 違 U+9055,  異体字: 回 U+56DE, 违 U+8FDD, 韋 U+97CB, 韦 U+97E6, 𢾁 U+22F81, 𣪡 U+23AA1, 𨔻 U+2853B, 𨕸 U+28578, 𩎮 U+293AE, 𩎵 U+293B5
 126: 関連字: 㓁 U+34C1,  異体字: ⺳ U+2EB3, 网 U+7F51, 罒 U+7F52, 罓 U+7F53, 𦉰 U+26270
 127: 関連字: NONE,  異体字: NONE
 128: 関連字: NONE,  異体字: NONE
 129: 関連字: NONE,  異体字: NONE
 130: 関連字: NONE,  異体字: NONE
 131: 関連字: NONE,  異体字: NONE
 132: 関連字: 汢 U+6C62,  異体字: NONE
 133: 関連字: 汐 U+6C50,  異体字: 夕 U+5915, 𣲠 U+23CA0, 𣴁 U+23D01
 134: 関連字: 冴 U+51B4,  異体字: 冱 U+51B1, 庌 U+5E8C, 沍 U+6C8D
 135: 関連字: NONE,  異体字: NONE
 136: 関連字: 𪞚 U+2A79A,  異体字: NONE
 137: 関連字: NONE,  異体字: NONE
 138: 関連字: 𪞜 U+2A79C,  異体字: 泊 U+6CCA
 139: 関連字: NONE,  異体字: NONE
 140: 関連字: 𫝎 U+2B74E,  異体字: NONE
 141: 関連字: 凧 U+51E7,  異体字: NONE
 142: 関連字: 凪 U+51EA,  異体字: NONE
 143: 関連字: 凩 U+51E9,  異体字: NONE
 144: 関連字: NONE,  異体字: NONE
 145: 関連字: NONE,  異体字: NONE
 146: 関連字: NONE,  異体字: NONE
 147: 関連字: 𩡫 U+2986B,  異体字: 䭵 U+4B75, 鳳 U+9CF3
 148: 関連字: 𪞵 U+2A7B5,  異体字: NONE
 149: 関連字: 𫥲 U+2B972,  異体字: NONE
 150: 関連字: NONE,  異体字: NONE
 151: 関連字: NONE,  異体字: NONE
 152: 関連字: NONE,  異体字: NONE
 153: 関連字: 𫦈 U+2B988,  異体字: NONE
 154: 関連字: NONE,  異体字: NONE
 155: 関連字: NONE,  異体字: NONE
 156: 関連字: 𫥻 U+2B97B,  異体字: 宿 U+5BBF
 157: 関連字: NONE,  異体字: NONE
 158: 関連字: 𫦤 U+2B9A4,  異体字: 𫦥 U+2B9A5
 159: 関連字: 𫦥 U+2B9A5,  異体字: 𫦤 U+2B9A4
 160: 関連字: 𪟗 U+2A7D7,  異体字: NONE
 161: 関連字: NONE,  異体字: NONE
 162: 関連字: 𫦫 U+2B9AB,  異体字: NONE
 163: 関連字: 𭅂 U+2D142,  異体字: NONE
 164: 関連字: NONE,  異体字: NONE
 165: 関連字: NONE,  異体字: NONE
 166: 関連字: 𫦹 U+2B9B9,  異体字: NONE
 167: 関連字: 𫦿 U+2B9BF,  異体字: NONE
 168: 関連字: 匂 U+5302,  異体字: 𪜩 U+2A729, 𪜪 U+2A72A
 169: 関連字: 匁 U+5301,  異体字: 㦮 U+39AE, 錢 U+9322
 170: 関連字: 匇 U+5307,  異体字: 匆 U+5306, 怱 U+6031
 171: 関連字: NONE,  異体字: NONE
 172: 関連字: 区 U+533A,  異体字: 區 U+5340, 𭉘 U+2D258, 𮞷 U+2E7B7
 173: 関連字: NONE,  異体字: NONE
 174: 関連字: 𪢱 U+2A8B1,  異体字: NONE
 175: 関連字: 𠧗 U+209D7,  異体字: 弄 U+5F04
 176: 関連字: NONE,  異体字: NONE
 177: 関連字: NONE,  異体字: NONE
 178: 関連字: NONE,  異体字: NONE
 179: 関連字: NONE,  異体字: NONE
 180: 関連字: NONE,  異体字: NONE
 181: 関連字: 𪨡 U+2AA21,  異体字: NONE
 182: 関連字: 𫨭 U+2BA2D,  異体字: NONE
 183: 関連字: 𠚫 U+206AB,  異体字: 刈 U+5208, 𭃆 U+2D0C6
 184: 関連字: 𭆴 U+2D1B4,  異体字: NONE
 185: 関連字: 叺 U+53FA,  異体字: 㕥 U+3565
 186: 関連字: 卟 U+535F,  異体字: 乩 U+4E69, 稽 U+7A3D
 187: 関連字: 吋 U+540B,  異体字: NONE
 188: 関連字: 𫩗 U+2BA57,  異体字: NONE
 189: 関連字: 听 U+542C,  異体字: 聽 U+807D, 𠲻 U+20CBB, 𪢧 U+2A8A7
 190: 関連字: 呎 U+544E,  異体字: NONE
 191: 関連字: 呏 U+544F,  異体字: 竔 U+7AD4
 192: 関連字: 𠯦 U+20BE6,  異体字: NONE
 193: 関連字: 呚 U+545A,  異体字: 畋 U+754B, 𢼤 U+22F24, 𦧉 U+269C9, 𭇅 U+2D1C5
 194: 関連字: 咄 U+5484,  異体字: 嚉 U+5689, 𠷅 U+20DC5
 195: 関連字: 咑 U+5491,  異体字: NONE
 196: 関連字: 𠱈 U+20C48,  異体字: NONE
 197: 関連字: 咜 U+549C,  異体字: 咤 U+54A4
 198: 関連字: 𠰉 U+20C09,  異体字: 昭 U+662D
