# format: {code point}: {pinyins}  # {hanzi}
# e.g.:
# U+4E2D: zhōng,zhòng  #中
U+243EE: bó  #𤏮
U+24629: niú  #𤘩
U+246A5: mǎn  #𤚥
U+2491B: xún  #𤤛
U+249B9: zhēn  #𤦹
U+24AA6: yí  #𤪦
U+24B6F: quán  #𤭯
U+24D4C: shā  #𤵌
U+24E7F: qí  #𤹿
U+251C0: huāng  #𥇀
U+2541B: qì  #𥐛
U+2546D: qú  #𥑭
U+2550C: yàn  #𥔌
U+25634: chèng  #𥘴
U+257AB: shǔ  #𥞫
U+257E9: cǎi  #𥟩
U+258CB: shǔ  #𥣋
U+259AF: fēi  #𥦯
U+259C3: bìng  #𥧃
U+25AE4: gōng  #𥫤
U+25AEF: chōng  #𥫯
U+25B03: shǎo  #𥬃
U+25DA1: lún  #𥶡
U+25E2F: lì  #𥸯
U+25ED8: lín  #𥻘
U+25F23: wú,mó  #𥼣
U+25F48: fēng  #𥽈
U+25FFB: juàn  #𥿻
U+25FFD: ān  #𥿽
U+26008: xiān  #𦀈
U+26060: míng  #𦁠
U+260BC: shèn  #𦂼
U+2613B: guàn  #𦄻
U+261B1: róng  #𦆱
U+26664: zhūn,chún  #𦙤
U+2681C: yè  #𦠜
U+26A51: lái  #𦩑
U+26A58: dìng  #𦩘
U+26A8C: jì  #𦪌
U+26B07: jǔ  #𦬇
U+26B11: nù  #𦬑
U+26B22: pútí  #𦬢
U+26CA4: yī  #𦲤
U+26D60: xì  #𦵠
U+26DA9: yì  #𦶩
U+26DCB: dá  #𦷋
U+26DDC: xià  #𦷜
U+26E40: xì  #𦹀
U+26E5D: dòng  #𦹝
U+26E9E: hè  #𦺞
U+26F20: kāi  #𦼠
U+26F73: yú  #𦽳
U+26FF6: jiǎn  #𦿶
U+270B8: bì  #𧂸
U+270F4: suō,sù  #𧃴
U+27254: kǒng  #𧉔
U+27281: mù  #𧊁
U+272E5: zú  #𧋥
U+272E8: tú  #𧋨
U+27302: bù  #𧌂
U+27394: mǎng,měng  #𧎔
U+273DB: tǎo  #𧏛
U+273E1: bā,xià  #𧏡
U+27491: shǔ  #𧒑
U+27614: kǎ  #𧘔
U+27615: kǎ  #𧘕
U+27631: bǐ  #𧘱
U+27CB9: yòu  #𧲹
U+27F38: miàn  #𧼸
U+2805D: bèng  #𨁝
U+282F3: yīn  #𨋳
U+283CD: róng  #𨏍
U+28455: wéi  #𨑕
U+28457: shàng,shǎng  #𨑗
U+2845C: pǐ  #𨑜
U+284B8: cún  #𨒸
U+284D5: zuò  #𨓕
U+2856B: shén  #𨕫
U+285C8: jǐng  #𨗈
U+286D7: yì  #𨛗
U+28727: xù  #𨜧
U+2883D: chéng  #𨠽
U+28945: zhàng  #𨥅
U+28946: jiǔ  #𨥆
U+28949: shān  #𨥉
U+28988: qǔ  #𨦈
U+28996: lòu  #𨦖
U+289A1: yóng,yáng  #𨦡
U+289A7: nián  #𨦧
U+289AB: yǔ  #𨦫
U+289BA: yì  #𨦺
U+289BB: nán  #𨦻
U+28A1E: fǔ  #𨨞
U+28A20: jū  #𨨠
U+28AE4: tōng  #𨫤
U+28AF2: zhuāng  #𨫲
U+28B39: zhòng  #𨬹
U+28B68: cí  #𨭨
U+28B6A: dào  #𨭪
U+28B6C: wàn  #𨭬
U+28BBF: zhuó  #𨮿
U+28C03: yīng  #𨰃
U+28C65: ǎi  #𨱥
U+28D71: wū  #𨵱
U+28E36: píng  #𨸶
U+28E89: cǎi  #𨺉
U+292A0: guāng  #𩊠
U+292A3: zhū  #𩊣
U+292B1: měi  #𩊱
U+29350: dèng  #𩍐
U+29546: hǒng  #𩕆
U+295CF: piāo  #𩗏
U+296F0: shí  #𩛰
U+2977B: zhēn  #𩝻
U+297DD: jǐn  #𩟝
U+2986D: bo  #𩡭
U+29A50: yuàn  #𩩐
U+29B43: zhuā  #𩭃
U+29D53: lì  #𩵓
U+29D7E: zhī  #𩵾
U+29D97: ěr  #𩶗
U+29D98: lì  #𩶘
U+29D99: yǒng  #𩶙
U+29DB8: guāng  #𩶸
U+29DBE: yīn  #𩶾
U+29DDB: jiǎo  #𩷛
U+29DE6: wǒ  #𩷦
U+29DE7: chì  #𩷧
U+29DEA: guī  #𩷪
U+29E15: zhǎng  #𩸕
U+29E29: huàn  #𩸩
U+29E2B: chuí  #𩸫
U+29E2D: lì  #𩸭
U+29E2E: fèng  #𩸮
U+29E36: yán  #𩸶
U+29E3D: huā  #𩸽
U+29E5C: kǔ  #𩹜
U+29E5D: dú  #𩹝
U+29E6E: móu  #𩹮
U+29E8A: huāng  #𩺊
U+29E90: jùn  #𩺐
U+29EA1: bān  #𩺡
U+29EAC: zhuī  #𩺬
U+29EBF: jìng  #𩺿
U+29ED2: lì,jìng  #𩻒
U+29EE9: sè  #𩻩
U+29EFB: liào  #𩻻
U+29F01: dōu  #𩼁
U+29F46: xù  #𩽆
U+29FFF: chú  #𩿿
U+2A01C: lài  #𪀜
